scada id,substation
UC005375      ,TDUA    
UC005377      ,TDUA    
UC005471      ,HHUNG   
UC005473      ,HHUNG   
UC005475      ,HHUNG   
UC005477      ,HHUNG   
UC005479      ,HHUNG   
UC005571      ,HHUNG   
UC005573      ,HHUNG   
UC005575      ,HHUNG   
UC005577      ,HHUNG   
UC005579      ,HHUNG   
UC005581      ,HHUNG   
UC005671      ,PCPTHO  
UC005673      ,PCPTHO  
UC005675      ,PCPTHO  
UC005677      ,PCPTHO  
UC005679      ,PCPTHO  
UC005681      ,PCPTHO  
UC005771      ,PCPTHO  
UC005773      ,PCPTHO  
UC005775      ,PCPTHO  
UC005777      ,PCPTHO  
UC005779      ,PCPTHO  
UC005871      ,PCPTHO  
UC005873      ,PCPTHO  
UC005875      ,PCPTHO  
UC005877      ,PCPTHO  
UC005971      ,PCPTHO  
UC005973      ,PCPTHO  
UC005975      ,PCPTHO  
UC005977      ,PCPTHO  
UC006031      ,PCPTHO  
UC006033      ,PCPTHO  
UC006071      ,PCPTHO  
UC006073      ,PCPTHO  
UC006075      ,PCPTHO  
UC006131      ,PCPTHO  
UC006133      ,PCPTHO  
UC006171      ,PCPTHO  
UC006173      ,PCPTHO  
UC006175      ,PCPTHO  
UC006231      ,PCPTHO  
UC006271      ,PCPTHO  
UC006273      ,PCPTHO  
UC006431      ,PCPTHO  
UC006471      ,PCPTHO  
UC006473      ,PCPTHO  
UC006531      ,PCPTHO  
UC006571      ,PCPTHO  
UC006573      ,PCPTHO  
UC006631      ,PCPTHO  
UC006633      ,PCPTHO  
UC006671      ,PCPTHO  
UC006673      ,PCPTHO  
UC006675      ,PCPTHO  
UC006771      ,PCPTHO  
UC006773      ,PCPTHO  
UC006775      ,PCPTHO  
UC006777      ,PCPTHO  
UC006779      ,PCPTHO  
UC006781      ,PCPTHO  
UC006783      ,PCPTHO  
UC006831      ,PCPTHO  
UC006871      ,PCPTHO  
UC006873      ,PCPTHO  
UC006931      ,PCPTHO  
UC006971      ,PCPTHO  
UC006973      ,PCPTHO  
UC006975      ,PCPTHO  
UC007031      ,PCPTHO  
UC007071      ,PCPTHO  
UC007073      ,PCPTHO  
UC007075      ,PCPTHO  
UC007131      ,PCPTHO  
UC007171      ,PCPTHO  
UC007173      ,PCPTHO  
UC007175      ,PCPTHO  
UC007231      ,PCPTHO  
UC007271      ,PCPTHO  
UC007273      ,PCPTHO  
UC007331      ,PCPTHO  
UC007371      ,PCPTHO  
UC007373      ,PCPTHO  
UC007375      ,PCPTHO  
UC007431      ,PCPTHO  
UC007471      ,PCPTHO  
UC007473      ,PCPTHO  
UC007475      ,PCPTHO  
UC007531      ,PCPTHO  
UC007533      ,PCPTHO  
UC007571      ,PCPTHO  
UC007573      ,PCPTHO  
UC007575      ,PCPTHO  
UC007577      ,PCPTHO  
UC007631      ,PCPTHO  
UC007671      ,PCPTHO  
UC007673      ,PCPTHO  
UC007675      ,PCPTHO  
UC007731      ,PCPTHO  
UC007733      ,PCPTHO  
UC007735      ,PCPTHO  
UC007771      ,PCPTHO  
UC007773      ,PCPTHO  
UC007775      ,PCPTHO  
UC007831      ,PCPTHO  
UC007871      ,PCPTHO  
UC007873      ,PCPTHO  
UC007875      ,PCPTHO  
UC007971      ,PCPTHO  
UC007973      ,PCPTHO  
UC007975      ,PCPTHO  
UC007977      ,PCPTHO  
UC008031      ,PCPTHO  
UC008033      ,PCPTHO  
UC008035      ,PCPTHO  
UC008071      ,PCPTHO  
UC008073      ,PCPTHO  
UC008075      ,PCPTHO  
UC008171      ,PCPTHO  
UC008173      ,PCPTHO  
UC008175      ,PCPTHO  
UC008177      ,PCPTHO  
UC008231      ,PCPTHO  
UC008233      ,PCPTHO  
UC008271      ,PCPTHO  
UC008273      ,PCPTHO  
UC008331      ,PCPTHO  
UC008333      ,PCPTHO  
UC008335      ,PCPTHO  
UC008371      ,PCPTHO  
UC008373      ,PCPTHO  
UC008375      ,PCPTHO  
UC008431      ,PCPTHO  
UC008433      ,PCPTHO  
UC008471      ,PCPTHO  
UC008473      ,PCPTHO  
UC008475      ,PCPTHO  
UC008531      ,PCPTHO  
UC008571      ,PCPTHO  
UC008573      ,PCPTHO  
UC008575      ,PCPTHO  
UC008577      ,PCPTHO  
UC008631      ,PCPTHO  
UC008633      ,PCPTHO  
UC008635      ,PCPTHO  
UC008671      ,PCPTHO  
UC008673      ,PCPTHO  
UC008675      ,PCPTHO  
UC008677      ,PCPTHO  
UC008731      ,PCPTHO  
UC008733      ,PCPTHO  
UC008771      ,PCPTHO  
UC008773      ,PCPTHO  
UC008775      ,PCPTHO  
UC008777      ,PCPTHO  
UC008831      ,PCPTHO  
UC008833      ,PCPTHO  
UC008871      ,PCPTHO  
UC008873      ,PCPTHO  
UC008931      ,PCPTHO  
UC008971      ,PCPTHO  
UC008973      ,PCPTHO  
UC008975      ,PCPTHO  
UC008977      ,PCPTHO  
UC009031      ,PCPTHO  
UC009033      ,PCPTHO  
UC009035      ,PCPTHO  
UC009071      ,PCPTHO  
UC009073      ,PCPTHO  
UC009075      ,PCPTHO  
UC009131      ,PCPTHO  
UC009171      ,PCPTHO  
UC009173      ,PCPTHO  
UC009175      ,PCPTHO  
UC009231      ,PCPTHO  
UC009233      ,PCPTHO  
UC009235      ,PCPTHO  
UC009271      ,PCPTHO  
UC009273      ,PCPTHO  
UC009275      ,PCPTHO  
UC009277      ,PCPTHO  
UC009331      ,PCPTHO  
UC009371      ,PCPTHO  
UC009373      ,PCPTHO  
UC009375      ,PCPTHO  
UC009377      ,PCPTHO  
UC009379      ,PCPTHO  
UC009381      ,PCPTHO  
UC009471      ,PCPTHO  
UC009473      ,PCPTHO  
UC009475      ,PCPTHO  
UC009477      ,PCPTHO  
UC009479      ,PCPTHO  
UC009571      ,PCPTHO  
UC009573      ,PCPTHO  
UC009575      ,PCPTHO  
UC009577      ,PCPTHO  
UC009671      ,PCPTHO  
UC009673      ,PCPTHO  
UC009675      ,PCPTHO  
UC009677      ,PCPTHO  
UC009679      ,PCPTHO  
UC009681      ,PCPTHO  
UC009771      ,PCPTHO  
UC009773      ,PCPTHO  
UC009775      ,PCPTHO  
UC009777      ,PCPTHO  
UC009871      ,PCPTHO  
UC009873      ,PCPTHO  
UC009875      ,PCPTHO  
UC009971      ,PCPTHO  
UC009973      ,PCPTHO  
UC009975      ,PCPTHO  
UC009977      ,PCPTHO  
UC009979      ,PCPTHO  
UC010031      ,PCPTHO  
UC010071      ,PCPTHO  
UC010073      ,PCPTHO  
UC010075      ,PCPTHO  
UC010077      ,PCPTHO  
UC010131      ,PCPTHO  
UC010171      ,PCPTHO  
UC010173      ,PCPTHO  
UC010175      ,PCPTHO  
UC010177      ,PCPTHO  
UC010231      ,PCPTHO  
UC010233      ,PCPTHO  
UC010271      ,PCPTHO  
UC010273      ,PCPTHO  
UC010275      ,PCPTHO  
UC010331      ,PCPTHO  
UC010333      ,PCPTHO  
UC010371      ,PCPTHO  
UC010373      ,PCPTHO  
UC010375      ,PCPTHO  
UC010431      ,PCPTHO  
UC010471      ,PCPTHO  
UC010473      ,PCPTHO  
UC010475      ,PCPTHO  
UC010477      ,PCPTHO  
UC010531      ,PCPTHO  
UC010571      ,PCPTHO  
UC010573      ,PCPTHO  
UC010575      ,PCPTHO  
UC010577      ,PCPTHO  
